Start Date,End Date,Country Name,ISO,Location,Latitude,Longitude,Magnitude Value,Magnitude Scale,Disaster Type,Disaster subtype,Total deaths,Total affected,Total damage ($),Disaster Name,Disaster Year,Disaster No.
6/6/99,6/6/99,Viet Nam,VNM,Baie d'Halong - Quang Ninh Province,,,,Kph,Storm,Convective storm,10,,,,1999,1999-0637
1/6/99,6/6/99,Philippines (the),PHL,Regions II - Batanes,,,,Kph,Storm,--,,1601,,ETANG,1999,1999-0723
4/6/99,6/6/99,Philippines (the),PHL,Region III - Zambales,,,,Kph,Storm,--,,1135,2210,GENING,1999,1999-0724
28/07/1999,1/8/99,Philippines (the),PHL,Region III,,,,Kph,Storm,--,47,1245919,33795,ISING (OLGA),1999,1999-0725
18/08/1999,21/08/1999,Philippines (the),PHL,"Regions I, II, III and CAR",,,,Kph,Storm,--,11,35245,4007,LUDING,1999,1999-0726
10/9/99,15/09/1999,Philippines (the),PHL,Region III,,,,Kph,Storm,--,1,1507,,NENENG,1999,1999-0727
15/10/1999,18/10/1999,Philippines (the),PHL,"Regions V, VIII",,,,Kph,Storm,--,1,5791,,REMING,1999,1999-0728
7/11/99,9/11/99,Philippines (the),PHL,"Regions V, VI, VII",,,,Kph,Storm,--,33,54159,14675,SENDANG,1999,1999-0729
1/7/99,5/7/99,Bangladesh,BGD,Bengal Gulf,,,,Kph,Storm,--,50,,,,1999,1999-0738
5/3/00,5/3/00,Bangladesh,BGD,Natore district (Rajshahi province),,,,Kph,Storm,Convective storm,,3050,,,2000,2000-0146
21/04/2000,21/04/2000,Bangladesh,BGD,"Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province)",,,120,Kph,Storm,Tropical cyclone,20,62800,,,2000,2000-0211
11/4/00,11/4/00,Bangladesh,BGD,"Maulvibazar district (Sylhet province), Netrakona district (Dhaka province)",,,80,Kph,Storm,Tropical cyclone,,7012,,,2000,2000-0229
18/05/2000,18/05/2000,Philippines (the),PHL,"National Capital region (NCR), Region III (Central Luzon) provinces",,,,Kph,Storm,Tropical cyclone,12,235889,1201,BIRING,2000,2000-0257
27/05/2000,19/06/2000,Bangladesh,BGD,"Dhaka, Mymensingh, Tangail, Kishoreganj districts (Dhaka province), Chittagong, Cox's Bazar, Comilla, Chandpur districts (Chittagong province)",,,70,Kph,Storm,--,36,71000,,,2000,2000-0283
23/05/2000,23/05/2000,Bangladesh,BGD,Chittagong province,,,,Kph,Storm,--,28,,,,2000,2000-0294
17/10/2000,17/10/2000,India,IND,Andhra Pradesh province,,,100,Kph,Storm,Tropical cyclone,,,,,2000,2000-0323
12/6/00,12/6/00,Viet Nam,VNM,"Binh Hoa, Giao Ha villages (Giao Thuy district, Nam Dinh province)",,,,Kph,Storm,--,3,129,,,2000,2000-0361
5/7/00,5/7/00,Philippines (the),PHL,National Capital region (NCR) province,,,185,Kph,Storm,Tropical cyclone,11,120000,7500,KIROGI,2000,2000-0396
7/7/00,7/7/00,Philippines (the),PHL,"Caloocan, Manioma, Quezon cities (Metropolitan Manila district, National Capital region (NCR) province), Mindoro Oriental district (Region IV (Southern Tagalog) province), Cavite, Rizal districts (Region IV-A (Calabarzon) province), Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Region I (Ilocos region), Region III (Central Luzon) provinces",,,200,Kph,Storm,Tropical cyclone,75,1483321,25763,KAI-TAK (EDENG),2000,2000-0397
10/7/00,10/7/00,Viet Nam,VNM,Can Tho city province,,,,Kph,Storm,--,,2005,,,2000,2000-0448
20/08/2000,20/08/2000,Viet Nam,VNM,"Quang Binh, Quang Tri, Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh, Da Nang City provinces",,,,Kph,Storm,Tropical cyclone,15,4,5000,KAEMI,2000,2000-0518
21/08/2000,21/08/2000,Thailand,THA,"Tha Tum, Chom Phra, Samrong Thap, Sikhoraphum, Sangkha, Muang Surin districts (Surin province), Ubon Ratchathani province",,,,Kph,Storm,Tropical cyclone,2,41219,,KAEMI,2000,2000-0539
24/08/2000,24/08/2000,Viet Nam,VNM,"My Tho City, Go Cong Township districts (Tien Giang province)",,,,Kph,Storm,--,,5730,,,2000,2000-0540
24/08/2000,24/08/2000,Viet Nam,VNM,Rach Gia Township district (Kien Giang province),,,,Kph,Storm,--,,503,35,,2000,2000-0541
24/08/2000,24/08/2000,Viet Nam,VNM,"Khanh Binh Tay village (Tran Van Thoi district, Ca Mau province)",,,,Kph,Storm,Convective storm,,134,,,2000,2000-0542
10/9/00,10/9/00,Viet Nam,VNM,"Thach Ha, Cam Xuyen, Ky Anh districts (Ha Tinh province)",,,120,Kph,Storm,Tropical cyclone,5,6029,21000,WUKONG,2000,2000-0582
25/06/2000,25/06/2000,Bangladesh,BGD,"Ullahpara area (Sirajganj district, Rajshahi province), Gaurnadi area (Barisal district, Barisal province)",,,,Kph,Storm,Convective storm,,2537,,,2000,2000-0631
27/09/2000,27/09/2000,Malaysia,MYS,Pulau Pinang province,,,,Kph,Storm,--,,500,,,2000,2000-0683
28/10/2000,31/10/2000,Philippines (the),PHL,"Cavite district (Region IV-A (Calabarzon) province), Sorsogon, Catanduanes, Albay districts (Region V (Bicol region) province), Metropolitan Manila district (National Capital region (NCR) province), Samar districts (Region VIII (Eastern Visayas) province)",,,140,Kph,Storm,Tropical cyclone,154,2436256,17000,XANGSANE (REMING),2000,2000-0706
28/10/2000,28/10/2000,Bangladesh,BGD,"Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province)",,,100,Kph,Storm,Tropical cyclone,15,200,,,2000,2000-0713
3/11/00,5/11/00,Philippines (the),PHL,"Metropolitan Manila district (National Capital region (NCR) province), Rizal, Laguna districts (Region IV-A (Calabarzon) province), Cagayan, Nueva Vizcaya districts (Region II (Cagayan Valley) province)",,,120,Kph,Storm,Tropical cyclone,94,1747872,31000,BEBINCA (SENIANG),2000,2000-0715
29/11/2000,29/11/2000,India,IND,"Nagappattinam, Thanjavur, Sirkali, Papanasam, Tiruvallur, Tiruvarur areas (Cuddalore district, Tamil Nadu province), Andhra Pradesh province",,,120,Kph,Storm,Tropical cyclone,,30000,,03B,2000,2000-0785
30/11/2000,3/12/00,Philippines (the),PHL,"Autonomous region in Muslim Mindanao (ARMM), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces Central Philippines",,,135,Kph,Storm,Tropical cyclone,48,164093,1000,RUMBIA (TOYANG),2000,2000-0788
24/12/2000,28/12/2000,Sri Lanka,LKA,"Ampara, Batticaloa, Trincomalee districts (Eastern province), Anuradhapura, Polonnaruwa districts (North Central province), Mannar district (Northern province)",,,150,Kph,Storm,Tropical cyclone,5,375000,,04B,2000,2000-0831
17/02/2001,17/02/2001,Philippines (the),PHL,"Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",,,45,Kph,Storm,Tropical cyclone,55,100084,6000,AURING,2001,2001-0054
11/5/01,11/5/01,Bangladesh,BGD,"Mymensingh, Netrakona, Tangail, Gopalganj districts (Dhaka province), Naogaon district (Rajshahi province), Maulvibazar district (Sylhet province), Chuadanga, Jhenaidah, Meherpur districts (Khulna province), Gaibandha district (Rangpur province), Patuakhali district (Barisal province), Noakhali district (Chittagong province)",,,100,Kph,Storm,Tropical cyclone,12,200,,,2001,2001-0198
1/4/01,1/4/01,Bangladesh,BGD,"Patuakhali district (Barisal province), Satkhira district (Khulna province)",,,,Kph,Storm,Tropical cyclone,193,2500,,,2001,2001-0202
28/04/2001,28/04/2001,Bangladesh,BGD,"Sirajganj, Pabna districts (Rajshahi province), Sylhet district (Sylhet province)",,,80,Kph,Storm,--,21,600,,,2001,2001-0273
4/7/01,4/7/01,Viet Nam,VNM,"Thai Nguyen, Tuyen Quang, Vinh Phuc provinces",,,,Kph,Storm,Tropical cyclone,30,117453,25000,DURIAN,2001,2001-0318
/07/2001,/07/2001,Philippines (the),PHL,"Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog), Region VIII (Eastern Visayas), Cordillera Administrative region (CAR), National Capital region (NCR) provinces",,,140,Kph,Storm,Tropical cyclone,232,1902654,68565,UTOR (FERIA),2001,2001-0319
24/05/2001,24/05/2001,India,IND,Uttar Pradesh province,,,,Kph,Storm,Convective storm,21,,,,2001,2001-0337
27/06/2001,27/06/2001,Thailand,THA,"Muang Satun, Langu, Tha Phae, Khuan Don districts (Satun province)",,,,Kph,Storm,--,,150,,,2001,2001-0357
11/8/01,11/8/01,Viet Nam,VNM,"Ha Tinh, Nghe An, Quang Binh, Thanh Hoa provinces",,,196,Kph,Storm,Tropical cyclone,3,10003,3200,USAGI,2001,2001-0436
5/10/01,5/10/01,Bangladesh,BGD,"Lalmonirhat, Nilphamari, Gaibandha, Rangpur districts (Rangpur province)",,,150,Kph,Storm,Convective storm,12,25450,,,2001,2001-0563
/10/2001,/10/2001,India,IND,Andhra Pradesh province,,,,Kph,Storm,Tropical cyclone,78,27000,,,2001,2001-0584
8/11/01,8/11/01,Philippines (the),PHL,"Camiguin, Misamis Oriental districts (Region X (Northern Mindanao) province)",,,215,Kph,Storm,Tropical cyclone,290,1060147,22700,LINGLING (NANANG),2001,2001-0614
12/11/01,12/11/01,Viet Nam,VNM,"Phu Yen, Binh Dinh, Quang Ngai, Quang Tri provinces",,,,Kph,Storm,Tropical cyclone,20,73183,55000,LINGLING (NANANG),2001,2001-0624
28/05/2001,28/05/2001,India,IND,"Gujarat, Goa, Maharashtra, Kerala provinces",,,80,Kph,Storm,Tropical cyclone,,,,01A,2001,2001-0729
5/12/01,7/12/01,Philippines (the),PHL,"Cebu district (Region VII (Central Visayas) province), Leyte district (Region VIII (Eastern Visayas) province)",,,,Kph,Storm,Tropical cyclone,6,54840,96,KAJIKI (QUEDAN),2001,2001-0758
17/08/2001,19/08/2001,Philippines (the),PHL,Region III (Central Luzon) province,,,,Kph,Storm,--,,295355,293,JOLINA,2001,2001-0792
22/09/2001,27/09/2001,Philippines (the),PHL,"Region I (Ilocos region), Region II (Cagayan Valley), Cordillera Administrative region (CAR) province",,,,Kph,Storm,--,4,37357,1407,LABUYO ( LEKIMA),2001,2001-0793
12/1/02,12/1/02,Thailand,THA,"Muang Chang Rai, Chiang Saen, Mae Chan, Wiang Chai, Phan districts (Chiang Rai province)",,,,Kph,Storm,Convective storm,1,27704,2000,,2002,2002-0069
3/4/02,3/4/02,India,IND,West Bengal province,,,,Kph,Storm,Tropical cyclone,9,5050,416,,2002,2002-0204
25/03/2002,25/03/2002,Bangladesh,BGD,Cox's Bazar district (Chittagong province),,,90,Kph,Storm,--,32,1000,,,2002,2002-0211
11/4/02,11/4/02,India,IND,Orissa province,,,,Kph,Storm,Convective storm,,10200,,,2002,2002-0216
30/03/2002,30/03/2002,Malaysia,MYS,"Klang Valley area (Sepang district, Selangor province), Setapak Jaya, Jalan Pinang, Jalan Semarak, Jalan Tun Razak, Pudu boroughs (Kuala Lumpur district, Kuala Lumpu province), Petaling district (Selangor province)",,,,Kph,Storm,Convective storm,2,155,,,2002,2002-0231
22/04/2002,22/04/2002,Bangladesh,BGD,"Gaibandha, Lalmonirhat, Nilphamari, Rangpur, Kurigram districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Netrakona, Kishoreganj districts (Dhaka province)",,,,Kph,Storm,Tropical cyclone,31,100400,,,2002,2002-0233
23/04/2002,23/04/2002,Thailand,THA,"Sam Ngao, Phop Phra districts (Tak province)",,,,Kph,Storm,Convective storm,,2500,,,2002,2002-0286
27/04/2002,27/04/2002,India,IND,"Gobalpur area (Hugli district, West Bengal), Kolkata, Jalpaiguri, Darjiling districts (West Bengal province)",,,80,Kph,Storm,Convective storm,11,,,,2002,2002-0308
7/7/02,9/7/02,Philippines (the),PHL,National Capital region (NCR) province,,,170,Kph,Storm,Tropical cyclone,33,700041,1000,CHATAAN,2002,2002-0408
13/07/2002,13/07/2002,Philippines (the),PHL,"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region) provinces",,,160,Kph,Storm,Tropical cyclone,62,11000,5664,HALONG (ANDAY),2002,2002-0423
14/07/2002,14/07/2002,Bangladesh,BGD,Rajshahi district (Rajshahi province),,,,Kph,Storm,--,10,,,,2002,2002-0425
28/06/2002,3/7/02,Philippines (the),PHL,National Capital region (NCR) province,,,,Kph,Storm,Tropical cyclone,7,3000,,RAMMASUN (FLORITA),2002,2002-0528
13/11/2002,13/11/2002,India,IND,"Baleshwar, Bhadrak, Jagatsinghpur, Kendrapara districts (Orissa province), East Midnapore, North 24 Parganas, South 24 Parganas (West Bengal province)",,,60,Kph,Storm,Tropical cyclone,124,,,,2002,2002-0702
14/11/2002,14/11/2002,Bangladesh,BGD,Barguna district (Barisal province),,,85,Kph,Storm,Tropical cyclone,49,,,,2002,2002-0705
/10/2002,/10/2002,Viet Nam,VNM,Long An province,,,0,Kph,Storm,Convective storm,,1800,100,,2002,2002-0725
20/03/2002,20/03/2002,Philippines (the),PHL,"Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region XIII (Caraga) provinces",,,,Kph,Storm,--,42,54631,3292,CALOY,2002,2002-0875
15/07/2002,23/07/2002,Philippines (the),PHL,"Region IV (Southern Tagalog), Region VI (Western Visayas) provinces",,,,Kph,Storm,--,14,19050,238, JUAN,2002,2002-0877
11/8/02,14/08/2002,Philippines (the),PHL,"Region III (Central Luzon), Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region X (Northern Mindanao), Region XIII (Caraga) provinces",,,,Kph,Storm,--,57,194472,3340,MILENYO,2002,2002-0878
17/02/2003,17/02/2003,India,IND,Betul district (Madhya Pradesh province),,,0,Kph,Storm,--,20,200,,,2003,2003-0089
19/02/2003,19/02/2003,India,IND,"Jammu and Kashmir (40424 to 40431), Punjab, Haryana provinces",,,0,Kph,Storm,--,14,4,,,2003,2003-0099
18/02/2003,18/02/2003,India,IND,Gujarat province,,,0,Kph,Storm,Tropical cyclone,5,140,,,2003,2003-0100
12/3/03,12/3/03,India,IND,"Bankura, Hugli, Haora districts (West Bengal province)",,,0,Kph,Storm,Convective storm,30,485910,16000,,2003,2003-0134
22/04/2003,22/04/2003,India,IND,"Chirakhawa, Chirakhawa Topopara, Peepulbari part 1, Peepulbari part 2, Bhurakata, Baliabeel, Bengerbhita, Baushkata areas (Dhuburi district, Assam province)",,,100,Kph,Storm,Tropical cyclone,45,4600,,,2003,2003-0182
12/4/03,12/4/03,India,IND,"Mekhliganj, Haldibari, Fukaldabri, Nijtaraf, Kasiabari, Bholarhat, Beltali areas (Kochbihar district, West Bengal province)",,,0,Kph,Storm,Tropical cyclone,,460,,,2003,2003-0234
11/4/03,11/4/03,Thailand,THA,"Muang Chiang Rai, Wiang Chai, Phan, Mae Fa Luang, Mae Suai districts (Chiang Rai province)",,,0,Kph,Storm,Convective storm,,5000,,,2003,2003-0235
26/05/2003,30/05/2003,Philippines (the),PHL,"Benguet district (Cordillera Administrative region (CAR) province), Bataan, Bulacan, Zambales districts (Region III (Central Luzon) province), Mindoro Occidental, Romblon districts (Region IV (Southern Tagalog) province), Batangas, Cavite, Rizal districts (Region IV-A (Calabarzon) province), Iloilo district (Region VI (Western Visayas) province), National Capital region (NCR), Region I (Ilocos region) provinces",,,,Kph,Storm,Tropical cyclone,51,13909,4000,LINFA (CHEDENG),2003,2003-0258
15/06/2003,18/06/2003,Philippines (the),PHL,"Sorsogon, Albay, Catanduanes, Camarines Sur districts (Region V (Bicol region) province), Biliran, Leyte districts (Region VIII (Eastern Visayas) province)",,,140,Kph,Storm,Tropical cyclone,13,127130,2455,SOUDELOR (EGAY),2003,2003-0290
19/07/2003,23/07/2003,Philippines (the),PHL,"Maguindanao district (Autonomous region in Muslim Mindanao (ARMM) province), North Cotabato, Sultan Kudarat districts (Region XII (Soccsksargen) province), Isabela district (Region II (Cagayan Valley) province), Ilocos Norte district (Region I (Ilocos region) province), Romblon district (Region IV (Southern Tagalog) province)",,,200,Kph,Storm,Tropical cyclone,21,14280,26468,IMBUDO,2003,2003-0346
23/07/2003,23/07/2003,Viet Nam,VNM,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai provinces",,,90,Kph,Storm,Tropical cyclone,,5018,,KONI,2003,2003-0437
17/12/2003,17/12/2003,India,IND,"Krishna, Guntur, West Godavari districts (Andhra Pradesh province)",,,100,Kph,Storm,Tropical cyclone,50,40000,28000,,2003,2003-0605
20/12/2003,20/12/2003,Bangladesh,BGD,Barguna district (Barisal province),,,,Kph,Storm,Tropical cyclone,28,,,,2003,2003-0779
15/07/2003,19/07/2003,Philippines (the),PHL,"Region IV (Southern Tagalog), Region VIII (Eastern Visayas) provinces",,,,Kph,Storm,Tropical cyclone,8,116602,1499,GILAS (KONI),2003,2003-0822
30/07/2003,31/07/2003,Philippines (the),PHL,"Region V (Bicol region), Region VIII (Eastern Visayas), Region X (Northern Mindanao) provinces",,,,Kph,Storm,Tropical cyclone,,3748,146,INENG,2003,2003-0823
4/8/03,5/8/03,Philippines (the),PHL,Region III (Central Luzon) province,,,,Kph,Storm,Tropical cyclone,,155147,661,KABAYAN,2003,2003-0824
20/08/2003,24/08/2003,Philippines (the),PHL,Region I (Ilocos region) province,,,,Kph,Storm,--,1,1156,73,NINA (KROVANH),2003,2003-0825
30/08/2003,2/9/03,Philippines (the),PHL,"National Capital region (NCR), Region III (Central Luzon) provinces",,,,Kph,Storm,--,1,34289,,ONYOK (DUJUAN),2003,2003-0826
3/2/04,5/2/04,Indonesia,IDN,"Jawa Timur, Nusatenggara Barat, Nusatenggara Timur provinces",,,75,Kph,Storm,Convective storm,4,2400,,,2004,2004-0062
30/03/2004,30/03/2004,Indonesia,IDN,"Cijeruk, Cipelang, Warung Menteng villages (Cijerik area, Bogor district, Jawa Barat province)",,,,Kph,Storm,Tropical cyclone,,1315,,,2004,2004-0144
14/04/2004,15/04/2004,Bangladesh,BGD,"Mymensingh, Netrakona districts (Dhaka province)",,,120,Kph,Storm,Convective storm,76,13000,,,2004,2004-0166
13/05/2004,19/05/2004,Philippines (the),PHL,Region V (Bicol region) province,,,260,Kph,Storm,Tropical cyclone,31,714,1000,NIDA (DINDO/04W),2004,2004-0218
19/05/2004,19/05/2004,Myanmar,MMR,"Myebon, Sittwe, Ponnagyun, Pauktaw, Mrauk-U, Minbya areas (Sittwe district, Rakhine province), Kyaukpyu, Ann areas (Kyaukpyu district, Rakhine province)",,,160,Kph,Storm,Tropical cyclone,236,25000,688,,2004,2004-0235
20/05/2004,23/05/2004,Thailand,THA,Mae Ramat district (Tak province),,,,Kph,Storm,--,13,5050,,,2004,2004-0244
7/6/04,11/6/04,Viet Nam,VNM,"BinH Dinh, Da Nang City, Quang Ngai provinces",,,65,Kph,Storm,Tropical cyclone,14,905,7000,CHANTHU (GENER/08W),2004,2004-0258
4/6/04,21/06/2004,Thailand,THA,"Phrae, Nakhon Sawan, Sukhothai, Phichit, Mae Hong Son, Tak, Nan, Phayao, Phitsanulok, Loei provinces",,,,Kph,Storm,Tropical cyclone,1,4000,,CHANTHU (GENER/08W),2004,2004-0258
10/6/04,10/6/04,Philippines (the),PHL,Leyte district (Region VIII (Eastern Visayas) province),,,,Kph,Storm,Convective storm,7,4504,,,2004,2004-0267
12/6/04,13/06/2004,Bangladesh,BGD,"Cox's Bazar, Tekhnaf areas (Cox's Bazar district, Chittagong province)",,,,Kph,Storm,--,153,50,,,2004,2004-0286
25/06/2004,2/7/04,Philippines (the),PHL,"Cagayan district (Region II (Cagayan Valley) province), Ilocos Norte, La Union districts (Region I (Ilocos region) province), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",,,230,Kph,Storm,Tropical cyclone,28,385012,19667,MINDULLE (IGME/10W),2004,2004-0309
16/07/2004,16/07/2004,Malaysia,MYS,Kedah province,,,,Kph,Storm,--,,1000,,,2004,2004-0403
25/08/2004,26/08/2004,Philippines (the),PHL,"Benguet, Ifugao districts (Cordillera Administrative region (CAR) province), La Union, Pangasinan districts (Region I (Ilocos region) province), Nueva Vizcaya district (Region II (Cagayan Valley) province), Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, Zambales districts (Region III (Central Luzon) province), Rizal district (Region IV-A (Calabarzon) province)",,,,Kph,Storm,Tropical cyclone,35,1058849,,AERE (MARCE/20W),2004,2004-0435
14/11/2004,21/11/2004,Philippines (the),PHL,"Mindoro Occidental, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Region IV-A (Calabarzon), Region V (Bicol region) provinces",,,215,Kph,Storm,Tropical cyclone,104,838674,6000,MUIFA (UNDING/29W),2004,2004-0580
26/11/2004,26/11/2004,Viet Nam,VNM,"Quang Ngai, Quang Nam, Thua Thien - Hue, Quang Tri, Quang Binh provinces",,,,Kph,Storm,Tropical cyclone,56,500000,23000,MUIFA (UNDING/29W),2004,2004-0580
6/11/04,6/11/04,Malaysia,MYS,Kuala Lumpur province,,,,Kph,Storm,--,1,40000,,,2004,2004-0590
23/11/2004,28/11/2004,Philippines (the),PHL,Aurora district (Region III (Central Luzon) province),,,,Kph,Storm,Tropical cyclone,29,2014,,MERBOK (VIOLETA),2004,2004-0602
29/11/2004,30/11/2004,Philippines (the),PHL,"Real, Infanta, General Nakar areas (Quezon district, Region IV-A (Calabarzon) province), Isabela district (Region II (Cagayan Valley) province), Bulacan, Nueva Ecija, Aurora districts (Region III (Central Luzon) province), Rizal district (Region IV-A (Calabarzon) province), Camarines Sur district (Region V (Bicol region) province)",,,,Kph,Storm,Tropical cyclone,1619,881023,78200,WINNIE,2004,2004-0609
30/11/2004,3/12/04,Philippines (the),PHL,Region V (Bicol region) province,,,240,Kph,Storm,Tropical cyclone,8,70488,34000,NANMADOL (YOYONG/30W),2004,2004-0618
13/05/2004,13/05/2004,Bangladesh,BGD,Sylhet province,,,,Kph,Storm,Convective storm,10,4050,,,2004,2004-0678
17/07/2004,17/07/2004,Bangladesh,BGD,Sunamganj district (Sylhet province),,,,Kph,Storm,--,,1100,,,2004,2004-0679
15/03/2005,17/03/2005,Philippines (the),PHL,Leyte district (Region VIII (Eastern Visayas) province),,,120,Kph,Storm,Tropical cyclone,18,11,,ROKE (AURING/02W),2005,2005-0120
20/03/2005,23/03/2005,Bangladesh,BGD,"Gaibandha, Rangpur districts (Rangpur province), Chandpur district (Chittagong province), Habiganj district (Sylhet province), Faridpur, Kishoreganj, Manikganj, Munshiganj districts (Dhaka province)",,,100,Kph,Storm,Convective storm,79,11500,,,2005,2005-0130
31/03/2005,31/03/2005,Bangladesh,BGD,"Manikganj district (Dhaka province), Natore, Sirajganj, Pabna districts (Rajshahi province)",,,,Kph,Storm,Tropical cyclone,24,10500,,,2005,2005-0190
23/03/2005,24/03/2005,India,IND,"Barddhaman, North 24 Parganas, South 24 Parganas districts (West Bengal province)",,,,Kph,Storm,--,18,7550,,,2005,2005-0191
21/05/2005,22/05/2005,Bangladesh,BGD,"Lakshmipur, Cox's Bazar districts (Chittagong province), Rajbari district (Dhaka province)",,,,Kph,Storm,--,10,6,,,2005,2005-0259
14/05/2005,14/05/2005,Bangladesh,BGD,Pabna district (Rajshahi province),,,,Kph,Storm,--,2,100,,,2005,2005-0273
6/5/05,6/5/05,Bangladesh,BGD,"Rangpur, Dinadjpur districts (Rangpur province)",,,,Kph,Storm,--,11,1500,,,2005,2005-0282
1/5/05,1/5/05,India,IND,"Guntur, Krishna, Srikakulam, Karimnagar, Nalgonda districts (Andhra Pradesh province)",,,,Kph,Storm,--,20,20,,,2005,2005-0290
4/5/05,4/5/05,India,IND,Kolkata district (West Bengal province),,,,Kph,Storm,--,11,20,,,2005,2005-0291
21/05/2005,21/05/2005,Thailand,THA,"Lampang, Nan provinces",,,,Kph,Storm,--,,1500,246,,2005,2005-0303
30/06/2005,30/06/2005,Bangladesh,BGD,Cox's Bazar district (Chittagong province),,,,Kph,Storm,--,35,,,,2005,2005-0391
13/08/2005,16/08/2005,Viet Nam,VNM,Nghe An province,,,,Kph,Storm,--,13,6500,,,2005,2005-0476
18/09/2005,19/09/2005,Viet Nam,VNM,"Thanh Hoa, Nghe An, Ha Tinh provinces",,,,Kph,Storm,Tropical cyclone,8,8500,20000,VICENTE,2005,2005-0536
20/09/2005,20/09/2005,India,IND,"Andhra Pradesh, Orissa provinces",,,,Kph,Storm,--,33,61000,,,2005,2005-0537
20/09/2005,20/09/2005,Bangladesh,BGD,"Barisal, Chittagong, Khulna provinces",,,,Kph,Storm,--,16,12000,,,2005,2005-0537
27/09/2005,30/09/2005,Viet Nam,VNM,"Yen Bai, Tram Tau, Nghia Lo districts (Yen Bai province), Nghe An, Phu Tho, Hoa Binh, Lao Cai, Thanh Hoa, Nam Dinh, Quang Ninh, Quang Nam, Da Nang City provinces",,,133,Kph,Storm,Tropical cyclone,75,337660,219250,DAMREY,2005,2005-0540
15/09/2005,22/09/2005,Philippines (the),PHL,"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region) provinces",,,95,Kph,Storm,Tropical cyclone,16,20000,2000,DAMREY,2005,2005-0540
26/09/2005,30/09/2005,Thailand,THA,"Lampang, Chiang Mai, Chiang Rai, Phayao, Mae Hong Son, Phrae, Yasothon, Ubon Ratchathani provinces",,,,Kph,Storm,Tropical cyclone,10,2000,20000,DAMREY,2005,2005-0540
2/11/05,4/11/05,Viet Nam,VNM,"Son Ha district (Quang Ngai province), Phong Dien district (Thua Thien - Hue province), Quang Nam, Quang Tri provinces",,,,Kph,Storm,Tropical cyclone,20,15000,11000,KAI TAK (21),2005,2005-0611
4/3/06,4/3/06,Bangladesh,BGD,"Bagerhat, Khulna districts (Khulna province)",,,150,Kph,Storm,Convective storm,4,5899,,,2006,2006-0146
7/4/06,7/4/06,Viet Nam,VNM,Yen Chau district (Son La province),,,,Kph,Storm,--,1,1005,,,2006,2006-0211
29/04/2006,5/5/06,Myanmar,MMR,"Hlinethaya area (Yangon(N) district, Yangon province), Ayeyawaddy, Rakhine provinces",18.37,94.95,240,Kph,Storm,Tropical cyclone,34,60106,,MALA,2006,2006-0241
17/05/2006,17/05/2006,Viet Nam,VNM,Quang Nam province,,,,Kph,Storm,Tropical cyclone,204,600000,,CHANCHU (CALOY),2006,2006-0251
11/5/06,12/5/06,Philippines (the),PHL,"Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",,,185,Kph,Storm,Tropical cyclone,41,42000,3328,CHANCHU (CALOY),2006,2006-0251
